,household_number,source,provenance,declarant_name,declarant_name_parsed,declarant_id,name_of_family_members,name_of_non_family_members,slaves,declarant_occupation,verif_photo,discussion
257,215-An-l,"P.Rein, I 49 = W.Chr. 207 (cf. BL 1.386, 8.288; BASP 30 [1993] 46-","Antinoopolis, 215/6","Aur. Thermoutharion d. Aur. Aline (d. NN the elder, freedm. of Ptolemaios s. Euangelianos) and her children M. Aur. Eudaimon alias Bes- odoros, minor and Aur. Maria alias Basileia, minor, through their father Aur. Besarion s. Eudaimon","['Aur. Thermoutharion', 'M. Aur. Eudaimon alias Bes- odoros, minor', 'Aur. Maria alias Basileia, minor', 'Aur. Besarion s. Eudaimon']","['215-An-l-d1', '215-An-l-d2', '215-An-l-d3', '215-An-l-d4']","['(1) Aur. Thermoutharion [declarant] d. Aur. Aline (d. NN the elder, freedm. of Ptolemaios s. Euangelianos), age not given,', '(2) M. Aur. Eudaimon alias Besodoros [declarant], s. Aur. Besarion (s. Eudaimon) and Aur. Thermoutharion [no. 1], minor, age not given', '(3) Aur. Maria alias Basileia [declarant], d. Aur. Besarion (s. Eudaimon) and Aur. Thermoutharion [no. 1], minor, age not given']",[],[],,"Paris, Institut de Papyrologie, inv. 2051; photograph; original seen","Virtually complete but with numerous small lacunae. An odd formula, declaring property but not ages. See BASP 30 [1993] 46-49 for discussion."
258,215 Ar 1,P.Oslo II 25,"Karanis (Arsinoite), 217",Aur. Achillas s. Ptolemaios (s. Chairemon) and Tauris,['Aur. Achillas'],['215 Ar 1-d1'],"['(1) Aur. Achillas [declarant] s. Ptolemaios (s. Chairemon) and Tauris, 35', '(2) Aurelia Tauris, mother of Achillas [declarant], 60']",[],[],,Oslo; photograph.,Complete.
259,215-Ar-2,"SPP II p. 29 no.3, i (cf. BL 7.254)0","Soknopaiou Nesos (Arsinoite), 28/8/217","Aur. Tesenouphis s. Stotoetis (s. Tesenouphis) and Tha[, priest",['Aur. Tesenouphis'],['215-Ar-2-d1'],"['(1) Aur. Tesenouphis [declarant] s. Stotoetis (s. Tesenouphis) and Tha[, priest, age lost', '(2) Tases d. Stotoetis (s. Tesenouphis) and Tha[, sister of Tesenouphis [declarant], 25', '(3) NN s. Herieus (s. Tesenouphis) and Segathis, [.]1', '(4) Segathis d. Harpagathos (s. Sataboutos), mother of NN [no.3?], age lost', '(5) Taouetis d. Satabous, age lost', '(6) Ta.ases d. Satabous (s. NN) and NN (d. Stotoetis), 50']",[],"['(1) NN, slave of Th[ [mother of declarant], age lost', '(2) Taesis, female offspring of NN [no.l], slave of Th[ [mother of declarant], 14', '(3) Orsenouphis, male offspring of NN [no.l], slave of Th[ [mother of declarant], 4', '(4) NN, slave, age lost', '(5) Ta[, (female) Offspring of NN [no.4], slave, 4', '(6) Taseus, female offspring of NN [no.4], slave, < 1 (born in year 24)']",priest,"Vienna, inv. G 24555; seen 22/4/1991.","Left half lost, as well as the right edge. The list given here of persons is probably incomplete, and their interrelationships are impossible to establish in several cases."
260,215-Ar-3,"SPP II p. 29 no.3, ii (cf. BL 3.233, 7.254)","Soknopaiou Nesos (Arsinoite), 28/8/217",Aur. Pa[ s.,['Aur'],['215-Ar-3-d1'],"['(1) Aur. Pa[ [declarant] s. NN (s. Satabous) and NN (d. Herieus), priest, [.]8', '(2) NN d. NN (s. Stotoetis) and Tapekysis, wife of Pa[ [declarant], age lost', '(3) NN s. Pa[ [declarant] and NN [no.2], age lost', '(4) Tases d. Pa[ [declarant] and NN [no.2], 26', '(5) Tasisois d. Pa[ [declarant] and NN [no.2], 16', '(6) Tanephremmis d. NN [deceased brother of declarant], 10', '(7) Stotoetis d. NN [deceased brother of declarant], 8', '(8) Segathis, age lost', '(9) NN [prob. female], age lost', '(10) Herieus s. NN (s. Satabous) and NN (d. Herieus), full brother of Pa[ [declarant], 4[.]', '(11) Harpagathes s. Harpagathes (s. Stotoetis) and Tanephremmis, age lost', '(12) Satabous s. Harpagathes [no. 11]?, 2', '(13) Thaisarion d. Harpagathes [no.11]?, age lost']",[],"['(1) Taseus, 49', '(2) S[, offspring of Taseus [no.l], 34', '(3) NN, offspring of Taseus [no.l], 13', '(4) Taseus, offspring of Taseus [no.l], 10', '(5) Thermouthis, offspring of Taseus [no.l], age lost']",,"Vienna, inv. G 24555; seen 22/4/1991.","Large gap in the middle, amount not easy to establish with certainty in all cases. A number of uncertainties about relationships of the persons listed, particularly with the slaves."
261,215-Ar-4,"SPP II p. 30 no.3, iii (cf. BL 1.407, 7.255)","Soknopaiou Nesos (Arsinoite), 28/8/217","Aur. Stotoetis s. Panephremmis and Taphiomis (d. Satabous), priest",['Aur. Stotoetis'],['215-Ar-4-d1'],"['(1) Aur. Stotoetis [declarant] s. Panephremmis (s. Stotoetis) and Taphiomis (d. Satabous), priest, 33', '(2) Tanephremmis d. Stotoetis and Se[, wife of Stotoetis [declarant], 30', '(3) Herieus d. Stotoetis [declarant] and Tanephremmis [no.2], 3', '(4) Pabous s. Stotoetis [declarant] and his deceased wife Ta[,6', '(5) Taphiomis d. Stotoetis [declarant] and his deceased wife Ta[, 3', '(6) Pabous s. Panephremmis and Taphiomis (d. Satabous), brother of Stotoetis [declarant], 29', '(7) Amoun s. Panephremmis and Taphiomis (d. Satabous), brother of Stotoetis [declarant], 23', '(8) Tanephremmis d. Pekysis and Taouetis, wife of Pabous [no.6], 29', '(9) Taphiomis d. Pabous [no.6] and Tanephremmis [no.8], 3', '(10) Stotoetis s. Stotoetis (s. Satabous) and Taoues, brother of the father of Stotoetis [declarant], priest, 66', '(11) Taouetis wife of Stotoetis [no.10], age lost']",[],[],priest,"Vienna, inv. G 24555; seen 22/4/1991.",Losses at left and right and large holes in the center toward the bot- tom.
262,215-Ar-5,"SPP II p. 30 no.3, iv (cf. BL 7.255)","Soknopaiou Nesos (Arsinoite), 28/8/217","Aur. Panephremmis s. Pekysis (s. Stotoetis) and Taoues (d. Stotoetis), priest",['Aur. Panephremmis'],['215-Ar-5-d1'],"['(1) Aur. Panephremmis [declarant] s. Pekysis (s. Stotoetis) and Taoues (d. Stotoetis), priest, 36', '(2) Taphiomis d. Pakysis alias Sisois, wife of Panephremmis [declarant], 34', '(3) Taoues d. Stotoetis, mother of Panephremmis [declarant], 54']",[],[],priest,"Vienna, inv. G 24555; seen 22/4/1991.",Complete except for minor gaps.
263,215-Ar-6,"SPP II p. 31 no.3, v","Soknopaiou Nesos (Arsinoite), 28/8/217","Aur. Panephremmis s. Satabous (s. Herieus) and Segathis (d. Horos), priest",['Aur. Panephremmis'],['215-Ar-6-d1'],"['(1) Aur. Panephremmis [declarant] s. Satabous (s. Herieus) and Segathis (d. Horos), priest, 50', '(2) Tapekysis d. Stotoetis (s. Satabous), wife of Panephremmis [declarant], 49', '(3) Herieus s. Panephremmis [declarant] and Tapekysis [no.2], 3', '(4) Satabous s. Satabous (s. Herieus) and Segathis (d. Horos), brother of Panephremmis [declarant], 47', '(5) Taouetis d. Onnophris and Taphiomis, wife of Satabous [no.4], 32']",[],[],priest,"Vienna, inv. G 24555; seen 22/4/1991.",Complete.
264,215-Ar-7,"P.Lond. II 452.4-8 (p. 65) (cf. BL 1.245, 8.178-79; BASP 28 [1991]","Arsinoite, March-April (?) 217",Name lost,['Name lost'],['215-Ar-7-d1'],"['(1) NN s. Pabous (s. Panomieus) and NN, age lost', '(2) NN d. NN (s. NN) and NN, wife of NN [no.l], age lost', '(3) NN s./d. NN [no.l] and NN [no.2], age lost', '(4) NN s./d. NN [no.l] and NN [no.2], age lost']",[],[],,"London, BL inv. 452; seen 2/4/1991.","Broken at left. This is an excerpt, cf. BASP 28 (1991) 123-24."
265,215-Ar-8,P.Tebt. II 446 (cf. BL 1.428; see Aegyptus 72 [1992] 82-84),"Arsinoite (found at Tebtunis, but filed in Arsinoe), 216/7","Aurelia Protous, apator, d. Syra",['Aurelia'],['215-Ar-8-d1'],[],[],[],,"Berkeley, P.Tebt. 446; seen 28/9/1990; photograph.","Only the beginning is preserved, with the name of the declarant."
266,215-He-l,"SPP II, p. 26-27, no.l (cf. BL 1.407, 8.433)0","Herakleopolis, 7-8/217",Aur. Herakl[,['Aur'],['215-He-l-d1'],"['(1) Aur. Herakl[ [declarant], age lost', '(2) [?Askl]epia d. Herakleios and Herakl[, wife of Herakl[ [declarant], age lost', '(3) ]s alias Herakleides s. Herakl[ [declarant] and [?Askl]epia [no.2], in school, 12 (13 in current year)', '(4) Aur. Theodoros alias Herakleios, s. Herakl[ [declarant] and [?Askl]epia [no.2], in school, 9 (10 in current year)', '(5) Aur. Tastoous alias Isidora, d. Herakl[ [declarant] and [?Askl]epia [no.2], 7']","['(1) Aur. Atrainis s. Atrainis and Ancharous alias Prot[, 80', '(2) Aur. Korintia, freedwoman of Atrainis [no.l], age lost']",[],,"Vienna, inv. G 25799; ZPE 65 (1986) Taf. lib; seen 22/4/1991.","Broken at top, left, and bottom. The full identification of the declarant and the beginning of the list of persons are lost. Kin nos. 1-2 are reconstructed from information given elsewhere. The ages of kin nos. 3-4 are given as of current year in the declaration."
267,215 He 2,"SPP II, p. 27-28, no.2 = W.Chr. 209 (cf. BL 3233, 8.433-34)0","Ankyronpolis (Herakleopolite), 217",Aur. Pareitis s. Horos and Thenpachnoubis,['Aur. Pareitis'],['215 He 2-d1'],"['(1) Pareitis [declarant] s. Horos and Thenpachnoubis, 37', '(2) NN, wife of Pareitis [declarant], 25', '(3) NN s. Pareitis [declarant] and NN [no.2], 1', '(4) Tamounis d. Horos and Thenpachnoubis, sister of Pareitis [declarant], 33', ""(5) Thenpachnoubis d. Horos and Thenphatres, sister on father's side of Pareitis [declarant] and Tamounis [no.4], age lost""]",[],[],,"Vienna, inv. G 24861; seen 22/4/1991.","Broken at left (large losses in lower part) and below. The heading is an acknowledgment by nos. 4 and 5 of a copy of an extract from a declara- tion submitted by Pareitis, which is then appended."
268,215 He 3,P.Oxy. XXXIII 26710,"Leonidou (Herakleopolite [?]), 216/7",Aurelius Menches s. Horos and Taseus,['Aurelius Menches'],['215 He 3-d1'],"['(1) Aurelius Menches [declarant] s. Horos and Taseus, 60 (or 61-69)', '(2) Aurelius Horos s. Menches [declarant] and Theonilla, 32', '(3) Th[—] d. Achilleus and Taaphynchis, wife of Aur. Horos [no.2], 31', '(4) Ps[—] s. Aur. Horos [no.2] and Th[—] [no.3], 4', '(5) Nechthenibis alias —, s. Menches [declarant] and Theonilla, 29', '(6) Tsenatis d. Menches [declarant] and Theonilla, 19']","['(1) Horos alias ..mes, son of Isidora (below, no.l), freedman, age lost']","['(1) Isidora slave of Menches [declarant], age lost', '(2) NN female offspring of Isidora [no.l], age lost (and status also lost)']",,Ashm.; seen 4/4/1991.,"Complete except at bottom, where an entry or more have been lost. The declaration also records that Taseus, another daughter of Horos [no.2], has died (age at death not stated). The declarant's age may or may not have had a second digit; there are no traces of one. The entry about Horos alias ..mes is very uncertain of reading and interpretation."
269,215 Hm 1,"P.Lond. HI 935 (p. 29) (cf. BL 1.274, 3.95, 6.62; ZPE 76 [1989] 213","Hermopolis, 12/3/217",Aur. Hermeinos alias Moros s. Hermaios alias Pathotes (s. Achilleus) and Souerous (d. Kastor),['Aur. Hermeinos alias Moros'],['215 Hm 1-d1'],"['(1) Aur. Hermeinos alias Moros [declarant] s. Hermaios alias Pathotes (s. Achilleus) and Souerous (d. Kastor), 49', '(2) Aur. Theognostos alias Moros s. Hermaios alias Pathotes (s. Achilleus) and Souerous (d. Kastor), brother of Hermeinos [declarant], 36']",[],[],,"London, BL inv. 935; microfilm; original seen 3/4/1991.","Complete. The date as given by the scribe is in 216, but the editor points out that one would expect 217, as in 215-Hm-2; cf. BL 6.62 for the scribal error. Cf. also 215-Hm-2. For the family at an earlier stage, see 187- Hm-1; later, cf. 229-Hm-l."
270,215 Hm-2,"P.Lond. Ill 936 (p. 30) (cf. BL 1.274, 3.95; ZPE 76 [1989] 213-18)","Hermopolis, 16/3/217","Aur. Dioskorous d. Hermaios alias Pathotes and Souerous (d. Kastor), with presence of her brother and husband Theognostos alias Moros",['Aur. Dioskorous'],['215 Hm-2-d1'],"['(1) Aur. Dioskorous [declarant] d. Hermaios alias Pathotes and Souerous (d. Kastor), 30']",[],[],,"London, BL inv. 936; microfilm; original seen 2/4/1991.",Cf. 215-Hm-l for the declaration of Dioskorous' husband and brother as a resident of his brother Hermeinos' household.
271,215 Hm-3,"P.Mil. I 37 = SB X 10437 (cf. BL 7.102, 8.206)","Hermopolis, 216/7","Aurelia Demetria d. NN (s. Horion) and Eudaimonis, with kyrios Aur. E.[....] s. Agathos Daimon, (s. ?Theonermeinos), her [kinsman]",['Aurelia Demetria'],['215 Hm-3-d1'],"['(1) Aurelia Demetria [declarant] d. NN (s. Horion) and Eudaimonis, 72']",[],"['(1) NN, offspring of Ploteina her slave, 34', '(2) —nos alias Beryllos, surnamed Xenophon, male offspring of NN alias Hermione her slave, 28']",,"Milan, Castelli Collection, inv. 58; PI. XV in P.Mil.","Very fragmentary at top, broken at left and bottom (only end of sub- scription lost). Declarant refers to another declaration, possibly of property only but perhaps including other persons; she owns more than one house. We do not accept the correction to line 10 proposed in BL 8.206."
272,215 Ox 1,P.Oxy. XLVII 3347,"Oxyrhynchos, 216/7","Titus Flavius Hermeinos (?), spurius, son of Flavia Tamerylla",['Titus'],['215 Ox 1-d1'],[],[],[],,Ashmolean; seen 4/4/1991.,"Complete except at bottom, where it is broken before declaration of any persons."
273,229 Ar 1,BGUI 125 (cf. BL 7.10),"Arsinoe, 6-8/231 (?)",Aur. NN,['Aur'],['229 Ar 1-d1'],[],[],[],,"Berlin, P.1348; seen 15/4/1991.","Broken at bottom and right, some loss at left. Entire list of persons declared is lost; since the declarant says that he registered in another declara- tion, this is probably a list of renters of a property he owns. For the date, which is based on an uncertain reading of the strategos' name, see Bastianini and Whitehorne, Strategi, 38."
274,229-Ar-2,BGU HI 971.8-15 (cf. BASP 29 [1992] 112-13),"Arsinoe, 6-8/231 (?)",Aur. Ammonios s. Doras (s. Ptolemaios),['Aur. Ammonios'],['229-Ar-2-d1'],"['(1) Aur. Ammonios [declarant] s. Doras (s. Ptolemaios), 48', '(2) Thermoutharion apator d. Thermoutharion, wife of Ammonios [declarant], age lost', '(3) NN d. Ammonios [declarant] and Thermoutharion [no.2], age lost']",[],[],,"Berlin, P.7171; seen 15/4/1991.","Broken at left and right. A copy in a later petition. For the date, which depends on the strategos, see Bastianini and Whitehorne, Strategi, 38. Some names are restored from other parts of the petition and the declaration 243- Ar-4 which follows on the papyrus."
275,229-He-l,P.Heid. 244 (cf. Cd'E 39 [1964] 168-71; Proc. XII Congr. 390 n.8; BL,"Herakleopolite, 230/1","Titus Aelius Sarapammon, veteran leg. II Traian.",['Titus'],['229-He-l-d1'],[],[],[],,"Heidelberg, inv. Gr. 52; Tafel Vic","Broken at left and bottom, before any list of persons; also some damage at right. Given that this is a Roman citizen, it is possible that only property was declared. But that is not in any case an invariable rule. The text must be read in the reedition by Bingen in Cd'E."
276,229-Hm-l,"P.Lond. Ill 946 (p. 31) (cf. BL 121'4, 3.95, Proc. XII Congr. 389-90;","Hermopolis, 12/5/231",Aur. Theognostos alias Moros s. Hermaios alias Pathotes (s. Achilles) and Souerous (d. Kastor),['Aur. Theognostos alias Moros'],['229-Hm-l-d1'],"['(1) Aur. Theognostos alias Moros [declarant] s. Hermaios alias Pathotes (s. Achilles) and Souerous (d. Kastor), [50]', '(2) Aur. Dioskorous d. Hermaios alias Pathotes (s. Achilles) and Souerous (d. Kastor), sister of Theognostos [declarant], 44']",[],[],,"London, BL inv. 946; microfilm; original seen 3/2/1991.","Very much mutilated, with losses at lower left, right center, and throughout. In the previous census Theognostos, though called Dioskorous' husband, was declared in the house of his brother Hermeinos (215-Hm-l), while Dioskorous declared her own house (215-Hm-2). The editor restored the age as 64 on the basis of a false reading in 215-Hm-l (q.v.). Partial copies are found in P.Stras. VI 573 and in'P.Lond. HI 947 I i descr."
277,229-Hm 2,P.Lond.inv.,"Alabastrine (Hermopolite), 20/5/231",Aurelius Harendotes s. Pytakis,['Aurelius Harendotes'],['229-Hm 2-d1'],"['(1) Aur. Harendotes [declarant] s. Pytakis (s. Harendotes), priest, 57', '(2) Dionysios s. —chis and NN, priest, 6', '(3) NN alias NN s. Aur. Harendotes [declarant] and Taeus, priest, 8']",[],[],,"London, British Library, inv. 1157 recto (a); seen 3/2/1991,","Broken at left, and the surface obscured or abraded. Only partial transcript in Parsons' article. The first child's name is partly lost, but the patronymic is not Harendotes. No female members of the household are declared, and we cannot securely reconstruct the family history nor know why the younger child, evidently not the declarant's son, is listed before the older child."
278,229-Ly-l,"SPP II, p. 31 (cf. BL 8.434)","Lykopolis, 229/230","Aur. Didyme d. Sarapion (s. Pathermoites), with kyrios granted to her by the prefect's office, Aur. Lykaon alias Sarapion",['Aur. Didyme'],['229-Ly-l-d1'],[],[],[],,"Vienna, inv. G 19796; seen 22/4/1991.","Broken at top and bottom, slight damage at left and lower right. This is a supplementary declaration to the strategos and basilikos grammateus cor- recting an error made in ignorance concerning the ownership of a 6-year-old male slave, whom she declared although he actually belonged to another."
279,229-Ox-l,"PSIX 1112 (cf. BL 3.228, 4.90, 6.184, 8.406)","Oxyrhynchos, 7-8/231",Aur. Di.. alias Theon s. N,['Aur. Di.. alias Theon'],['229-Ox-l-d1'],[],[],[],,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Complete except minor losses at sides. Declares no individuals in full, not even the declarant. Those previously registered are stated to have died and been released from capitation taxes."
280,229 Ox 2,P.Oxy. XLII 3077 (cf. Proc. XII Congr.Pap. 397),"Oxyrhynchos, 229/230","Aurelii Matres (?) s. NN and Dieus, and NN",['Aurelii'],['229 Ox 2-d1'],[],[],[],,Ashmolean; seen 4/4/1991. This is listed by Nachtergael as P.Oxy.,"Broken at right and at bottom, taking the names of all persons registered."
281,243-Ar-l,"P.Flor. I 5 (cf. BL 1.134, 3.55, 7.49; BASP21 [1990] 4-5)","Arsinoe, 244/5",Aur. Thermoutharion d. Ammonios alias Herakleides and Ptolemais alias Laodita?,['Aur. Thermoutharion'],['243-Ar-l-d1'],"['(1) Aur. Thermoutharion [declarant] d. Ammonios alias Herakleides and Ptolemais alias Laodita?, 27', '(2) Koprei[os] s. Thermoutharion [declarant], age lost', '(3) —on, s. Thermoutharion [declarant], 6']",[],[],,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Complete at top and right, some loss at left and broken at the bottom in the middle of the list of persons declared. Other persons were listed, with a total (not readable) in line 20."
282,243-Ar-2,P.Prag. I 18 = SB I 4299,"Arsinoe, 7-8/245",Aurelius Aphrodisios alias Euporas s. Neilogenes,['Aurelius Aphrodisios alias Euporas'],['243-Ar-2-d1'],"['(1) Dioskoros s. Zoilos (s. Her—) and Theano, katoikos, salaried linen-weaver, 30', '(2) Aurelia Sambous d. Spo— and P—, age lost', '(3) Aurelia NN daughter of Dioskoros [no.l] and Sambous [no.2], age lost']",[],[],,P.Prag. Gr. I 34; PI. XXIII.,Complete except at right. Declarant is registered in another declara- tion; this one concerns another property and its renters.
283,243 Ar 3,BGU IV 1069 recto (cf. BL 3.17)0,"Arsinoe, 244/5","Aur. Syra d. Apollonios (s. NN) and Herais (d. Alkimos), acting without kyrios",['Aur. Syra'],['243 Ar 3-d1'],"['(1) Aur. Syra [declarant] d. Apollonios (s. NN) and Herais (d. Alkimos), 36', '(2) Aur. Sarapammon s. Ploutammon (s. Sarapammon [s. Ninnaros] and Demetrous) [deceased husband of declarant] and Syra [declarant], linenweaver, 16', '(3) Apollonios s. Ploutammon (s. Sarapammon [s. Ninnaros] and Demetrous) [deceased husband of declarant] and Syra [declarant], 11', '(4) Ammonios s. Ploutammon (s. Sarapammon [s. Ninnaros] and Demetrous) [deceased husband of declarant] and Syra [declarant], 7']","['(1) Aur. Ninnos, s. Sarapammon (s. Ninnaros) and Demetrous, brother of Aur. Ploutammon [deceased husband of declarant], linenweaver, 31', '(2) A[ s. Aur. Ninnos [no.l] and Aur. Isidora (d. A[) [deceased wife of Aur. Ninnos], age lost']",[],,"Formerly Berlin, Ersatz Ehnas; since 1907 in Cairo Museum, SR","Broken at bottom; some loss at left. This is a copy. The two persons classified as ""renters"" by the declarant are in fact related by marriage."
284,243 AM,BGU HI 971.16-21 (BASP 29 [1992] 112-13),"Arsinoe, 6-8.245 (?)",Thermoutharion apator d. Thermoutharion,['Thermoutharion apator'],['243 AM-d1'],"['(1) Thermoutharion [declarant] apator d. Thermoutharion, age lost', '(2) NN minor son of Ammonios (s. Doras) and Thermoutharion [declarant], age lost']",[],[],,"Berlin, P.7171; seen 15/4/1991.","Broken at left, right, and below. A copy of the declaration included in a petition. For date, which depends on strategos, see Bastianini and Whitehorne, Strategi, 38. The previous declaration for this household, 229- Ar-2, included Thermoutharion's now deceased husband Ammonios and a daughter of unknown age. We cannot tell if the latter figured also in this declaration or was now married and living elsewhere."
285,243 Ox-1,"P.Flor. I 4 = W.Chr. 206 (cf. BL 4.29, BASP 27 [1990] 3)","Oxyrhynchos, 4-5/245",Aurelii Petsiris and Aphynchis sons of Aphynchis (s. Petsiris) and Taaphynchis,['Aurelii'],['243 Ox-1-d1'],"['(1) Aur. Petsiris [declarant] s. Aphynchis (s. Petsiris) and Taaphynchis, arexvoq, 27', '(2) Aur. Aphynchis [declarant] s. Aphynchis (s. Petsiris) and Taaphynchis, 26']",[],"['(1) Silbanos, slave of Aphynchis [no.2], arexvoq, 19', '(2) Mouses, slave of Aphynchis [no.2], offspring of slave Sinthonis, arexvoq, 3 (probable reading)', '(3) Markos, slave of Aphynchis [no.2], offspring of slave Sinthonis, arexvoc;, in his 1st year', '(4) Markos the younger, manumitted slave, [?offspring of Sinthonis], age not given', '(5) Sinthonis, slave of Aphynchis, arexvoq, 24', '(6) Eirene, slave of Aphynchis, offspring of slave Sinthonis, 5']",,"Florence, Biblioteca Laurenziana; seen 25/5/1989.",Complete. The younger Markos [no.4] apparently has been freed; the start of line 24 does not contain his age. See BASP 27 [1990] 3.
286,243 Ox-2,P.Heid. IV 299,"Oxyrhynchos, 244/5","Aur. Herakleides alias Claudius NN, s. NN (s. Sarapodoros), Alexandrian, member of the hiera synodos",['Aur'],['243 Ox-2-d1'],[],[],[],member of the hiera synodos,"Heidelberg, inv. G 961; Tafel VI.",Two fragments. The declarant registers apparently a house in the quarter of Tegmenouthis.
287,243 Ox 3,P. Oxy. L 3565,"Oxyrhynchos, 5/4/245","Aurelius Aniketos s. Ploutarchos, councillor",['Aurelius Aniketos'],['243 Ox 3-d1'],[],[],[],councillor,Ashmolean; seen 4/4/1991.,Complete. A return of property in the village of Ision Panga in which no one is registered.
288,257 Ar 1,SPP II p. 32 (cf. BL 1.407; BASP 30 [1993] 54-56),"Arsinoe, 28/8/259",Aur. Helene d. Sarapammon (s. Dioskoros),['Aur. Helene'],['257 Ar 1-d1'],"['(1) Aur. Helene [declarant] d. Sarapammon (s. Dioskoros), 38', '(2) Koprios s. NN and Helene [declarant], 5', '(3) Marinos s. NN and Helene [declarant], 1']",[],[],,"Vienna, inv. G 25757; seen 22/4/1991.",Broken at left along most of the length. It is unknown if the father of the children was dead or divorced from Helene at the time of the declaration. Another child might have been declared in line 10 in the lacuna.
289,???-An-l,P. Col. X 269 (P.Col.inv. 420b),"Antinoopolis, 2/3c",,[],[],[],[],[],,"Columbia, P.Col.inv. 420b; seen.",Broken at left and just below the address.
290,???-Ar-l,"BGUI 130 (cf. BL 1.22, 3.8)#","Apias (Arsinoite), 2/3c.",Serenos s. Deios (s. Heron),['Serenos'],['???-Ar-l-d1'],"['(1) Serenos [declarant] s. Deios (s. Heron), age lost']",[],[],,"Berlin, P.1346; seen 19/4/1991.","Broken at left and below, with some loss at right. Breaks off before list of persons, but preserving indication that declarant was one of persons listed, i.e. it was his household."
291,???-Ar-2,BGU I 131 (cf. BL 4.3; BASP 29 [1992] 106),"Arsinoite, 3c. (215, 229, 243, or 257)","Kopreia d. Hatres (?) and —ion, acting without kyrios",['Kopreia'],['???-Ar-2-d1'],"['(1) Kopreia [declarant] d. Hatres (?) and —ion, age lost', '(2) NN d. Kopreia [declarant] by former husband Aurelius NN, age lost']",[],[],,"Berlin, P.1347; seen 15/4/1991.","Broken at left, right, and bottom, with loss of all but a thin strip. Several further persons may have been declared, but not enough remains to reconstruct anything of their identity."
292,???-Ar-3,"P.Lond. Ill 1119b (p. lviii) (Calderini, La composizione delta famiglia","Soknopaiou Nesos (Arsinoite), 2c",NN,['NN'],['???-Ar-3-d1'],"['(1) NN alias Th[ [declarant] s. Panephremmis, age lost', '(2) NN, brother of NN [declarant], 57', '(3) NN, wife of NN [no.2], 38', '(4) NN d. NN [no.2] and NN [no.3], age lost', '(5) Thases d. NN [no.2] and NN [no.3], 8', '(6) Aaou—, d. NN [no.2] and NN [no.3], age lost', '(7) Thermoutharion wife of ]oteros, 31', '(8) NN d. ]oteros and Thermoutharion [no.7], age lost', '(9) Tekiasis d. ]oteros and Thermoutharion [no.7], 12', '(10) Taphiomis d. Stotoetis, wife of NN, deceased brother [of declarant], 60', '(11) Pakysis s. NN (deceased brother) and Taphiomis [no.10], 17', '(12) Tympanthes d. NN (deceased brother) and Taphiomis [no. 10], age lost', '(13) NN d. Tourbon (deceased brother) and Taphiomis [no. 10], age lost', '(14) Thaesis d. Tourbon (deceased brother) and Herieus, 38', '(15) Tapakysis d. Tourbon (deceased brother) and Herieus, age lost', '(16) Tekiasis d. Tapakysis [no. 15], 12', '(17) NN s./d. Tathous, deceased sister, age lost', '(18) NN s./d. Tathous, deceased sister, 36 (?)', '(19) Taneph— d. Tathous, deceased sister (?), 35', '(20) Taouetis, d. Tathous, deceased sister (?), age lost', '(21) Tan— (female), age lost', '(22) Tanephremmis d. Tan— [no.20], age lost']",[],[],,"London, BL inv. 1119b; microfilm; seen 3/4/1991.","Broken at bottom, damaged at top, right and here and there through the body. The text given by Calderini is a very preliminary transcript by Bell. This is listed as of unknown provenance, but the names point unmistakably to Soknopaiou Nesos. The editor mistakenly read the age of no. 11 as iT). Another brother, ]oteros, may have figured in a lacuna some- where."
293,???-Ar-4,P.Berol.inv. 1343 {Archiv 39 [1992] 28),"Arsinoe, 175 or 189",None preserved,['None'],['???-Ar-4-d1'],[],[],[],,"Berlin, inv. P.1343; seen 19/4/1991.","A small fragment from the bottom of a declaration, with some loss at right. Only a description of property remains."
294,??? Ar-5,P.Berol.inv. 1361 {Archiv 39 [1993] 28),"Arsinoe, 2c",Names lost (probably two brothers),['Names lost (probably two brothers)'],['??? Ar-5-d1'],"['(1) NN [declarant], age lost', '(2) NN, wife of NN [no.l], age lost', '(3) NN s. NN [no.l] and NN [no.2], age lost', '(4) NN ?s. NN [no.l] and NN [no.2], 11', '(5) Souchion, ?s. NN [no.l] and NN [no.2], age lost', '(6) NN [declarant], 40', '(7) Ant[ (?), wife of NN [no.6], age lost', '(8) NN child of NN [no.6] and Ant[ [no.7], age lost', '(9) NN child of NN [no.6] and Ant[ [no.7], age lost', '(10) NN child of NN [no.6] and Ant[ [no.7], 7', '(11) NN, relationship unknown, 20', '(12) Sara[, relationship unknown, age lost']",[],[],,"Berlin, inv. P.1361; seen 19/4/1991.","Fragment, broken on all sides, of what is apparently a household con- taining two brothers, their wives, and their children. So much is lost that the age and sex of most of the children is impossible to recover, and each couple may have had one or two more than given here."
295,???-Me-l,P.Cair.Preis. 10 (cf. BL 5.22; ZPE 80 [1990] 219-20),"Memphis, 146 or 160",Protas,['Protas'],['???-Me-l-d1'],"['(1) Protas [declarant], 33', '(2) Nemesion s. Protas [declarant], 3']",[],[],,"Cairo; plate in P.Cairo-Preisigke Plates, pi. 10.",Broken at the top.
