,household_number_year,household_number_location,household_number_order,source,provenance,provenance_place,provenance_year,declarant_name_1,declarant_name_2,declarant_name_3,declarant_name_4,declarant_name_5,declarant_ids,declarant_occupation,number_of_family_members,number_of_non_family_members,number_of_slaves,verif_photo,discussion_text,discussion_indicates_substantive_record_brokenness
197,187,Ar,l,P.Stras. V 313 (cf. BASP21 [1990] 11),"Arsinoe, 25/5/189",Arsinoe, 25/5/189,Tasoucharion,,,,,['187-Ar-l-d1'],,0,0,0,"P.Stras.inv.gr. 1221(b), seen 14/3/1989.","Broken at right. Declaration only of property. It is not clear what the relationship of names in lines 6-7 is to the declarant; Taorsenouphis in 6 is feminine, in accusative. Whose metronymic (line 7) is not clear.",Yes
198,187,Ar,2,P.Flor. I 102 + P.Prag. I 17 (= SB III 6696); cf. Tyche 5 [1990] 200;,"Soknopaiou Nesos (Arsinoite), 188/9",Soknopaiou Nesos (Arsinoite), 188/9,Stotoetis,,,,,['187 Ar 2-d1'],priest of the 3rd tribe of Soknopaios,5,0,0,"Right half in Florence, Biblioteca Laurenziana; seen 25/5/1989; left","Virtually complete with two halves except for minor losses in the mid- dle. See L. Vidman, ZPE 11 (1989) 225-26 for combination.",No
199,187,Ar,3,P.Laur. Ill 66,"Philadelphia (Arsinoite), 188/9",Philadelphia (Arsinoite), 188/9,NN,,,,,['187 Ar 3-d1'],,0,0,4,"Florence, Biblioteca Laurenziana; seen 25/5/1989; P.Laur. Ill, pi.","Broken at left and an abraded, almost blank, strip along a join down the middle. A declaration only of property, including probably four slaves (no.2 is not certain, posited for the size of the lacuna) belonging to Nemesilla.",Yes
200,187,Ar,4,BGUl 115 i = W.Chr. 203U,"Arsinoe, 189",Arsinoe, 189,Herodes,,,,,['187-Ar-4-d1'],,20,7,0,"Berlin, P.1326, col. i; seen 15/4/1991.","Damaged at left, and smaller holes throughout. The persons listed under ""non-kin"" are described as renters by the declarant, but some of them are in fact related; quite possibly all were kin. The possible confusion in such a household can be seen in the presence of two 34-year old pot&bioTcu named Heron, or two Eirenes in their early 50s! Kin nos. 11 and 12 are described as twins.",No
201,187,Ar,5,BGU I 115 ii = W.Chr. 203 (cf. BL 3.8)#,"Arsinoe, 24/6/189",Arsinoe, 24/6/189,Sarapammon,,,,,['187 Ar-5-d1'],,1,0,1,"Berlin, P.1326, col. ii; seen 15/4/1991.",Broken at right with significant loss. Lines 16-22 are occupied with a list of Aunes' former owners. Lines 23-25 record that the declarant's daughter Didymarion is registered by her husband Achilleus s. Apollonios along with their children Valerius and NN in another amphodon.,Yes
202,187,Ar,6,BGUI 116 \U,"Arsinoe, 28/8/189",Arsinoe, 28/8/189,Horigenes,,,,,['187 Ar 6-d1'],,1,0,0,"Berlin, P.1327, col. i; seen 15/4/1991.",Broken at left with considerable loss (nearly all restored). The one person declared is presumably a renter of the two-thirds of a house owned by the declarant and its sole occupant.,Yes
203,187,Ar,7,BGU I 116 ii (cf. BL 8.19),"Arsinoe, 28/8/189",Arsinoe, 28/8/189,Ision,,,,,['187 Ar-7-d1'],,2,0,0,"Berlin, P.1327, col. ii; seen 15/4/1991.",Complete except for minor holes. Ision does not declare Herois as his wife.,No
204,187,Ar,8,BGUl 111 (cf. BL 8.19; BASP29 [1992] 103-04),"Arsinoe, 20/8/189",Arsinoe, 20/8/189,Dioskoros,,,,,['187-Ar-8-d1'],,12,0,0,"Berlin, P.1328; seen 16/4/1991.","Substantial loss at right, small holes at left and elsewhere. Complete top and bottom.",No
205,187,Ar,9,BGUl 118 i (cf. BL 1.21; BASP29 [1992] 104),"Arsinoe, 189",Arsinoe, 189,Nemesilla,,,,,['187 Ar-9-d1'],,3,1,2,"Berlin, P.1329, col. i; seen 16/4/1991.","Only the right-hand part preserved, with about three-quarters lost to the left. Broken also at top. The household certainly contained more persons than can now be recovered.",Yes
206,187,Ar,10,BGUl 118 ii (cf. BL 1.21),"Arsinoe, 26/5/189",Arsinoe, 26/5/189,Mysthes,,,,,['187-Ar-10-d1'],,3,0,0,"Berlin, P.1329, col. ii; seen 16/4/1991.","Broken at top, and with minor losses elsewhere. Kyrilla's father is Tamystha's divorced husband. Mysthes acts as Tamystha's kyrios.",Yes
207,187,Ar,11,BGUl 118 iii (cf. BL 1.21)0,"Arsinoe, 5-6/189",Arsinoe, 5-6/189,Chaireas,,,,,['187-Ar 11-d1'],woolwasher,6,0,0,"Berlin, P.1329, col. iii; seen 16/4/1991.","Broken at top and at right, with large losses. The sex of nos. 3 and 4 is assumed to be masculine from their placement before Chaireas. It is pos- sible that one more child is lost in the lacuna at the end.",Yes
208,187,Ar,12,BGU1120,"Arsinoe, 21/8/189",Arsinoe, 21/8/189,Name lost,,,,,['187-Ar-12-d1'],,4,0,0,"Berlin, P.1330; seen 16/4/1991.","Broken at top and some damage at right. No.4 is probably a daughter, since (s)he is listed after a son just born in the current year.",Yes
209,187,AM3,,"BGU I124 (cf. BL 1.22, 8.19)0","Arsinoe, 189",Arsinoe, 189,NN,,,,,['187-AM3-d1'],priest of Petesouchos,3,0,0,"Berlin, P.1358; seen 12/4/1991.","Broken at top, bottom, and upper and lower left. Apparently from an extract from a register rather than a declaration itself (cf. line 10). Apart from the priest, who is apparently the declarant, only the females are extracted from the declaration. The relationship of no.2 to the declarant is not clear, and nothing can be said about no.3 except that the name Theano fig- ured somewhere in her entry. More persons may have been listed.",Yes
210,187,AM4,,BGU1126,"Arsinoe, 189",Arsinoe, 189,Herakleides,,,,,['187-AM4-d1'],,1,0,0,"Berlin, P.1352 + 1340; seen 16/4/1991.",Broken at right and below with loss of all listed persons except the declarant.,Yes
211,187,Ar,15,BGU I 128 i,"Arsinoe, 189",Arsinoe, 189,Name lost,,,,,['187-Ar-15-d1'],,4,0,2,"Berlin, P.1332, col. i; seen 16/4/1991.",Broken except at right. The list of family members is partial and uncertain.,Yes
212,187,Ar,16,BGUI 128 n#,"Arsinoe, 189",Arsinoe, 189,Herakleides,,,,,['187 Ar-16-d1'],linenweaver,2,0,0,"Berlin, P.1332, col. ii; seen 16/4/1991.","Broken at top, right, and bottom. Both family and renters were evi- dently declared, but they are mostly lost.",Yes
213,187,AM7,,BGU I 129#,"Arsinoe, 189",Arsinoe, 189,Name lost,,,,,['187-AM7-d1'],,0,0,0,"Berlin, P.1341; seen 16/4/1991.","Broken at top, right, and bottom. The declarant declared at least him- self or herself.",Yes
214,187,Ar,18,BGU I 138 (cf. BL 4.3)0,"Arsinoe, 189",Arsinoe, 189,Apion,,,,,['187-Ar-18-d1'],,6,0,0,"Berlin, P.1331; seen 16/4/1991.","Broken at left (small loss), right (larger loss), and bottom (in the mid- dle of the list of persons). Apion declares a house belonging to him, with its renters. Enough information is lost that the interrelationships of most of the renters cannot be determined, and it is possible that some of them are non- kin.",Yes
215,187,AM9,,P.Fam.Tebt. 44.13-220,"Arsinoe, 189",Arsinoe, 189,Valerius alias Philantinoos,Philantinoos alias Herodes,,,,"['187-AM9-d1', '187-AM9-d2']",,0,0,0,"London, BL inv. 1914A; seen 2/4/1991.","Broken at right and damaged below; copy of an original declaration. Though the end is damaged, it appears that only property is declared, not any inhabitants. Cf. 187-An-2.",Yes
216,187,Ar,20,P.Lond.inv. 1914B {P.Fam.Tebt. p. 152),Arsinoe,Arsinoe,,Not given,,,,,['187-Ar-20-d1'],,0,0,0,"London, BL inv. 1914B; seen 3/4/1991.","Fragments mentioned, not published. Said to be written in the same hand as 187-Ar-19 (P.Fam.Tebt. 44, BL inv. 1914A). The fragments seem too small and scattered to yield any connected sense or usable data.",No
217,187,Ar,21,"PS/ined. (Calderini, 15 n.2)",Arsinoe,Arsinoe,,Not known Family members; Free non-kin; Slaves: Not known,,,,,['187-Ar-21-d1'],,0,0,0,Not seen,So far not able to be identified in Florence.,No
218,187,Ar,22,"P.Tebt. II 322 (= Sel.Pap. II 313) (cf. BL 3.242, 4.97; JJurPap 21","Arsinoe, 27/8/189",Arsinoe, 27/8/189,Achilleus,,,,,['187-Ar-22-d1'],,7,0,0,"Berkeley, P.Tebt. 322; seen 27/9/1990.","Complete. Achilleus, who is himself registered in another declaration, declares a property belonging to him and renters living in it. This family con- sists of Pasigenes' children by two previous marriages, his wife Herakleia's by a previous marriage, and their daughter together.",No
219,187,Ar,23,P.Tebt. II 504 (seeAegyptus 72 [1992] 71-74),"Arsinoite, 24/8/189",Arsinoite, 24/8/189,Heliodoros,,,,,['187-Ar-23-d1'],,9,0,0,"Berkeley, P.Tebt. 504; seen 28/9/1990; photograph.","About two-thirds is lost at the right, except at the bottom, where the right part is preserved; the other margins are preserved. Some entries are probably lost. The relationships (if any) of nos. 5-9 to the declarant are unknown, and it is possible that they are renters or slaves.",No
220,187,Ar,24,BGUI 60 (cf. BL 1.13),"Karanis (Arsinoite), 189",Karanis (Arsinoite), 189,—archos,,,,,['187 Ar-24-d1'],,1,0,0,"Berlin, P.6954; seen 16/4/1991.","Broken at left, right, and bottom, leaving only a small strip; persons declared other than the declarant are lost.",Yes
221,187,Ar,25,BGU II 430,"Karanis (Arsinoite), 189",Karanis (Arsinoite), 189,Name lost,,,,,['187-Ar-25-d1'],,0,0,0,"Berlin, P.7438; seen 12/4/1991.",Broken at bottom with loss of all useful information.,Yes
222,187,Ar,26,"BGU XI 2018 (cf. Youtie, ZPE 9 [1972] 133-37 = Scr.Post. I 61-65;","Karanis (Arsinoite), 188/9",Karanis (Arsinoite), 188/9,Petsoraipis,,,,,['187 Ar-26-d1'],,5,0,0,"W. Berlin, P.21514; seen 11/4/1991.","Complete at right and much of left; damaged at top, at lower left, and at bottom, evidently with no loss of entries of persons. Multiple properties declared. Youtie rejects the editor's notion that the ctTc<XTope<; may have been children of Tapetheus, since her name is not connected to them. They are perhaps children of a deceased sibling of Petsoraipis or of some more distant relative. It seems likely enough that all three come from the same relation- ship.",No
223,187,Ar,27,P.Mich. VI 370,"Karanis (Arsinoite), 9/8/189",Karanis (Arsinoite), 9/8/189,Sarapion,,,,,['187-Ar-27-d1'],,0,0,0,"Michigan, inv. 2977, now in Cairo; photograph seen 9/11/1990.","Complete with minor damage along folds. This declaration registers properties owned by an Antinoite woman for whom Sarapion is phrontistes and by her children, but no persons living in any of them.",No
224,187,Ar,28,BGU XI 20900,"Soknopaiou Nesos (Arsinoite), 7-8/189",Soknopaiou Nesos (Arsinoite), 7-8/189,NN,,,,,['187-Ar-28-d1'],priest of Soknopaios,2,0,0,"W. Berlin, P.21649; seen 11/4/1991.","Broken at left, some damage at right, complete top and bottom. At least two other persons were declared, but nothing can be made of the rem- nants of these entries.",Yes
225,187,Ar,29,P.Rein. I 46 (cf. BL 1.386),Soknopaiou Nesos (Arsinoite),Soknopaiou Nesos (Arsinoite),,Stotoetis,,,,,['187-Ar-29-d1'],,3,0,0,"Paris, Institut de Papyrologie, inv. 2048; photograph.",Complete with small lacunae.,No
226,187,Ar,30,P.Berl.Leihg. I 150 (cf. BL 8.62),Tebtunis (Arsinoite),Tebtunis (Arsinoite),,Isidora,,,,,['187-Ar-30-d1'],,1,0,9,"Berlin, P.13988; seen 15/4/1991.","Complete, with small holes. Duplicate in P.Lond.inv. 1899 verso (un- published; nearly complete, seen 3/4/1991), which confirms that Isidora's age has no second digit. Nos. 8 and 9 may be offspring of no.7, given the age differential and the fact that they seem to have escaped together, but that is not said explicitly.",No
227,187,Ar,31,P.Tebt. II 518 (see Aegyptus 72 [1992] 74-79),"Arsinoite, 28/8/189",Arsinoite, 28/8/189,Herodes alias Liberalis,Triamallos alias Tyrannos,,,,"['187-Ar-31-d1', '187-Ar-31-d2']",sitometrosakkophoros,0,0,0,"Berkeley, P.Tebt. 518; seen 28/9/1990; photograph.","Broken at left. Only property is declared, in which no one lives.",Yes
228,187,Ar,32,SB XIV 11355 (CIMGL 6 [1971] 10-13),"Arsinoe, 188/9",Arsinoe, 188/9,Didymos,,,,,['187-Ar-32-d1'],,3,0,7,"Copenhagen, P.Hafn.inv. 24; PI. in CIMGL.","A copy of the declaration. Complete except at left, where there is a varying loss. Declarant notes that his son Xenophon by his divorced wife NN, an Antinoite (a different person from the mother of Didymos [no.3] above), is registered with his mother in Antinoopolis, and that her children by her divorced husband (not the declarant) are registered with their father. He thus has tvtfo divorced wives living (and she two divorced husbands). He also mentions a half share of two slaves, Isis alias Memphis and her son Sarapammon (age 6); the context is fragmentary, but they are apparently resi- dent elsewhere. He states (line 17) that there are 7 slaves in his household. This piece is connected to P.Fam.Tebt., esp. no.48 (202/3), whence Sarapias' name is restored. Her age there (57) agrees with 43 here. Cf. Sijpesteijn-Worp, BASP 14 (1977) 145-47 (BL 8.370) on the back and on the family.",No
229,187,Ar,33,SB XIV 11268 (Aegyptus 54 [1974] 18) (cf. ZPE 20 [1976] 40),"Arsinoe, 28/8/189",Arsinoe, 28/8/189,NN,,,,,['187-Ar-33-d1'],,1,0,0,P.Med.inv. 13; PI. V.,"Complete except upper left and scattered holes. NN has filed another declaration for himself; this one concerns a third of a house rented out to a single lodger. Tens digit dotted, but reading is virtually certain.",No
230,187,Ar,34,BGU XIII 2225 = ZPE 9 (1972) 251-55,"Arsinoe, 189",Arsinoe, 189,Sarapias,,,,,['187-Ar-34-d1'],,2,2,1,"W. Berlin, P.21880; seen 11/4/1991.","Three fragments, together missing the centers of most lines, the right ends of most lines, and the bottom, breaking off in the middle of listing per- sons. The ed. restores the daughter's name as Isarion and age as 22 on the basis of the appearance of an Isarion alias Sarapias, age 25, in SB VI 9618, but this seems insufficient. The restoration of the age of non-kin no. 1 is based on (partly restored) information that he underwent epikrisis in year 28, i.e. 187/8.",No
231,187,Ar,35,P.Berol inv. 1335 (Archiv 39 [1993] 27),"Arsinoe, 189",Arsinoe, 189,Taorseus,,,,,['187-Ar-35-d1'],,0,0,0,"Berlin, inv. P. 1335; seen 19/4/1991.","Column ii of a multicolumn roll; broken at right and below. The ends of lines of column i to the left belong to a similar declaration. The declarant, registered herself in another declaration, is here declaring renters of a prop- erty she owns.",Yes
232,187,Ar,36,P.Berol.inv. 1336 (Archiv 39 [1993] 26),"Arsinoite, 189",Arsinoite, 189,Not preserved,,,,,['187 Ar-36-d1'],,2,1,1,"Berlin, inv. P. 1336; seen 19/4/1991.","A fragment, broken at top, bottom, and left. Enough survives to show that the declarant registered himself, one or more family members, and one renter.",Yes
233,187,Ar,37,P.Hamb. Ill 203,"Arsinoe, 20/8/189",Arsinoe, 20/8/189,Ptolemaios,,,,,['187-Ar 37-d1'],,1,0,0,PI. VII.,"Complete except at right and scattered damage. The declarant has registered in another declaration and is registering a lodger (despite ""lodgers"" in line 9).",No
234,187,Hm,1,"P.Lond. Ill 923 (6) (Van Minnen, forthcoming)","Hermopolis, 188/9",Hermopolis, 188/9,Hermaios alias Pathotes,,,,,['187 Hm 1-d1'],,6,0,0,"London, British Library, inv. 923 (6); seen 3/4/1991.",Broken at left and with minor damage at right. Some ages restored from other evidence; for the family cf. 215-Hm-l with ZPE 76 (1989) 213- 18and229-Hm-l.,Yes
235,187,Me,1,BGUXl 2019 (cf. BASP 29 [1992] 114-15),"Moithymis (Memphite), 20/9/188",Moithymis (Memphite), 20/9/188,Herakleia freedwoman of Senamounis,,,,,['187 Me 1-d1'],,3,0,1,"W. Berlin, P.21516; seen 11/4/1991.","Complete, but with some of the bottom lines unreadable (no material loss). Col. ii contains the remains of another declaration to the same officials from the same year, but only part has been deciphered; the portion contain- ing any persons is not preserved.",No
236,187,Ox,1,P.Oxy. XXXVI 2762,"Oxyrhynchos, 188/9",Oxyrhynchos, 188/9,Apollonios,,,,,['187 Ox 1-d1'],,0,0,0,"Oxford, Ashmolean; seen 4/4/1991.","Broken at the bottom, with loss of all entries of persons.",Yes
237,187,Ox,2,P.Oxy. XXXVI 2800,"Oxyrhynchos, 188/9",Oxyrhynchos, 188/9,Theon,,,,,['187-Ox-2-d1'],,0,0,0,"Oxford, Ashmolean; seen 4/4/1991.",Broken at bottom and at the right of some lines. At left are remnants of four lines with bits of another declaration (only a mention of the prefects remains).,Yes
238,187,Ox,3,P.Princ. Ill 129 i (cf. P.Oxy. XXXVI 2762 introd.; BASP 28 [1991],"Oxyrhynchos, 189",Oxyrhynchos, 189,Teteuris,,,,,['187 Ox-3-d1'],,2,0,0,"Princeton, GD 7928B, col. i; seen 26/2/1991.","Broken at top, left, and bottom. Text of i 3-10 (introductory part) by Rea given in P.Oxy. XXXVI 2762 introd., full text in BASP 28 [1991] 126- 27. The household is completely preserved. No.2 is probably the daughter of the same father but not of the same mother, but that is not certain.",Yes
239,187,Ox,4,P.Princ. Ill 129 ii (cf. BL 3.151-52; BASP 2% [1991] 125-29),"Oxyrhynchos, 189",Oxyrhynchos, 189,NN,,,,,['187-Ox-4-d1'],,3,0,0,"Princeton, GD 7928B, col. ii; seen 26/2/1991.","Broken at left and top. The household is apparently completely preserved, but damage at the crucial point makes it unclear exactly who is declared. The first person is almost certainly the declarant, and it appears that the two following persons are daughters. But they are in inverse age order, and the description of them is evidently more complex than one would expect.",Yes
240,187,Ox,5,"P.Harr. I 71 (cf. BL 3.78, P.Oxy. XXXVI2762 introd.)","Ision Panga (Oxyrhynchite), 188/9",Ision Panga (Oxyrhynchite), 188/9,Horion,,,,,['187-Ox-5-d1'],former exegetai,0,0,0,"Birmingham, Selly Oak, inv. 199a; photograph.",Broken at right in parts. The declarants register property (mainly vacant lots) in which no one is registered.,Yes
241,187,0,x,P. Oxy. LVIII3918,"Tanais (Oxyrhynchite), 188/9",Tanais (Oxyrhynchite), 188/9,Sarapion  alias  Eusebes,,,,,['187 0 x 6-d1'],,0,0,0,Ashmolean; seen 4/4/1991.,Complete except at bottom; no one was registered in this property owned by an Antinoite.,No
242,201,Ar,1,"P.Stras. IV 257; cf. P.Stras. IV, p. 190 (BL 5.140-41)0","Tebtunis, 203",Tebtunis, 203,Thenpestsokis,,,,,['201-Ar-1-d1'],,5,0,1,"P.Stras.inv.gr. 1154, seen 14/3/1989.","Broken at bottom, minor damage elsewhere; declares property also, and names of inhabitants of second house may be lost.",Yes
243,201,Ar,2,PSIX 1147 (cf. BL 6.185),"Tebtunis, 202/3",Tebtunis, 202/3,Pakebkis,,,,,['201-Ar-2-d1'],priest of the Temple of Soknebtunis alias Kronos and Isis and Sarapis and Harpokrates,3,0,2,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","All margins preserved, but there are large gaps in the center and right lower parts. There may be a slave preceding Eudaimonis and perhaps another child of Eudaimonis, but this cannot be determined. Pakebkis is exempt from capitation taxes, but whether for age or priesthood is not said.",No
244,201,Ar,3,SB XII 11150 (SIFC 43 [1971] 155),"Tebtunis, 202/3",Tebtunis, 202/3,Sarapias,,,,,['201-Ar-3-d1'],,0,0,0,"Florence, Istituto Papirologico, inv. 340; seen 25/5/1989.","Complete except at bottom, but up to that point the declarant has listed only a house in Tebtunis in which no one is registered.",No
245,201,Ar,4,BGU XI 2091 (cf. BL 7.24),"Arsinoe, 203",Arsinoe, 203,Maron,,,,,['201-Ar-4-d1'],,0,1,0,"W. Berlin, P.21612; seen 11/4/1991.","Broken at left and below, with loss of all entries. The declarant is him- self registered in another declaration; this one is only for renters of another property.",Yes
246,201,Ar,5,BGU XIII 2226 = ZPE 9 (1972) 255-58,"Arsinoe, 203",Arsinoe, 203,NN through Heroninos,,,,,['201-Ar-5-d1'],,6,0,1,"W. Berlin, P.21881; seen 11/4/1991.","Broken at top and bottom; in two fragments, with some loss in the middle of all lines and some loss at right; breaks off in the middle of listing persons. Nos. 5 and 6 are the children of the same person, but it is unknown of whom. The phrontistes and his family are described as enoikoi of the owners, who apparently are in Alexandria.",Yes
247,201,Ar,6,"P.Fam.Tebt. 48 (cf. BL 3.104, 6.67, 7.96)#","Arsinoe, 202/3",Arsinoe, 202/3,Valerius alias Philantinoos,Philantinoos alias Herodes,Valerius alias Philantinoos,Philosarapis,Herakleides,"['201-Ar-6-d1', '201-Ar-6-d2', '201-Ar-6-d3', '201-Ar-6-d4', '201-Ar-6-d5']",,5,0,2,"London, BL inv. 1902; seen 2/4/1991.","Complete but with many small holes. The persons are renters of the property belonging to the declarants. Neilos and Eudaimonis are the parents- in-law of one of the owners, Sarapias the ex-wife of another owner. The owners declare two persons who were also declared elsewhere; where they were actually resident is not clear.",No
248,201,Ar,7,BGUI 1580,Herakleia (Arsinoite),Herakleia (Arsinoite),,Taonnophris,,,,,['201-Ar-7-d1'],,0,0,0,"Berlin, P.7086; seen 12/4/1991.",Broken at bottom before list of persons. The date is based on the strategos; BL 1.23 wrongly suggests 138 as date.,Yes
249,201,Ar,8,BGU I 97 = W.Chr. 2040,"Karanis (Arsinoite), 203",Karanis (Arsinoite), 203,Herois,,,,,['201-Ar-8-d1'],,3,0,0,"Berlin, P.6856; seen 15/4/1991.","Complete with minor holes. Herois declares herself, her daughter, and her granddaughter, but not her son-in-law, even though she makes the declaration through him. Cf. 201-Ar-9.",No
250,201,Ar,9,BGU II 577 (cf. BL 1.54)0,"Karanis (Arsinoite), 21/4/203",Karanis (Arsinoite), 21/4/203,Tasoucharion,,,,,['201-Ar-9-d1'],,6,0,0,"Berlin, P.6974; seen 12/4/1991.","Damaged at left and at bottom corners, with smaller gaps throughout. Longinos alias Zosimos also occurs in BGU I 97 (201-Ar-8) as the father of a one-year old daughter by Soeris (one of the persons declared there), but he is not living in that household. There is no indication of divorce in that docu- ment either.",No
251,201,Ar,lO,P.Tebt. II 480 (seeAegyptus 72 [1992] 79-82),"Tebtunis (Arsinoite), 203",Tebtunis (Arsinoite), 203,Thenpetsokis,,,,,['201-Ar-lO-d1'],,6,0,2,"Berkeley, P.Tebt. 480; seen 27-28/9/1990; photograph.","Essentially complete, but much text effaced, especially on the left side.",No
252,201,AMI,,P.Diog. 21,"Arsinoite (?), 203",Arsinoite (?), 203,Name lost,,,,,['201-AMI-d1'],,0,0,0,"London, British Library, inv. 2530B.","Small fragment, with only the end of the description of the property and part of the date, written in red ink. No information survives about any of the people declared.",No
253,201,AM2,,"P.Lond. II 452.9-13 (p. 65) (cf. BL 1.245, BASP2S [1991] 123-24)","Arsinoite, 202/3",Arsinoite, 202/3,Not preserved,,,,,['201-AM2-d1'],,3,0,0,"London, British Library inv. 452; seen 3/4/1991.",See BASP 28 [1991] 123-24 for this text. This is an extract; the inter- relationship .of the parties is not certain but a deduction from the order in which they are given.,No
254,201,Ox,1,P.Oxy. XII 1548 (cf. BL 6.102),"Oxyrhynchos, 202/3",Oxyrhynchos, 202/3,Ploution,,,,,['201-Ox 1-d1'],,3,0,4,"Rochester; photo in Ashm., seen 5/4/1991.",Broken at bottom in middle of oath formula.,Yes
255,201,Ox,2,"P.Oxy. VIII 1111, col. i","Memertha (Oxyrhynchite), 202/3",Memertha (Oxyrhynchite), 202/3,Didyme,,,,,['201 Ox 2-d1'],,0,0,0,"Bodleian, Bodl. MS.Gr.Class. f 90 (P); photograph.",Broken at bottom in middle of property description.,Yes
256,201,Ox,3,"P.Oxy. VIII 1111, col. ii (cf. BL 1.332, 3.134)","Memertha (Oxyrhynchite), 202/3",Memertha (Oxyrhynchite), 202/3,Admetos,,,,,['201 Ox 3-d1'],,4,0,0,"Bodleian, Bodl. MS.Gr.Class. f 90 (P); photograph.","Broken at top with full identification of declarant and at bottom in the middle of list of persons. Broken at right with loss of all ages. The first two persons declared are followed by the phrase ov 6T/X(<5) T6Te\(evTrjKevai); the editors take these to refer to the mother's father, pointing out that ""they can hardly refer to the persons named in 11. 9 and 12, since it is the rule for the name of the person making the return to stand first.""  But it is equally the rule that statements of this kind refer to the person entered, not to persons not involved in the declaration at all. Moreover, the earlier part of the declaration shows precisely that the father and father's father were the previous owners of the property. Despite en 7raXa[t, the deaths may have been comparatively recent (en 7r[aXm is possible in line 11 also).",Yes
257,215,An,l,"P.Rein, I 49 = W.Chr. 207 (cf. BL 1.386, 8.288; BASP 30 [1993] 46-","Antinoopolis, 215/6",Antinoopolis, 215/6,Aur. Thermoutharion,"M. Aur. Eudaimon alias Bes- odoros, minor","Aur. Maria alias Basileia, minor",Aur. Besarion s. Eudaimon,,"['215-An-l-d1', '215-An-l-d2', '215-An-l-d3', '215-An-l-d4']",,3,0,0,"Paris, Institut de Papyrologie, inv. 2051; photograph; original seen","Virtually complete but with numerous small lacunae. An odd formula, declaring property but not ages. See BASP 30 [1993] 46-49 for discussion.",No
258,215,Ar,1,P.Oslo II 25,"Karanis (Arsinoite), 217",Karanis (Arsinoite), 217,Aur. Achillas,,,,,['215 Ar 1-d1'],,2,0,0,Oslo; photograph.,Complete.,No
259,215,Ar,2,"SPP II p. 29 no.3, i (cf. BL 7.254)0","Soknopaiou Nesos (Arsinoite), 28/8/217",Soknopaiou Nesos (Arsinoite), 28/8/217,Aur. Tesenouphis,,,,,['215-Ar-2-d1'],priest,6,0,6,"Vienna, inv. G 24555; seen 22/4/1991.","Left half lost, as well as the right edge. The list given here of persons is probably incomplete, and their interrelationships are impossible to establish in several cases.",No
260,215,Ar,3,"SPP II p. 29 no.3, ii (cf. BL 3.233, 7.254)","Soknopaiou Nesos (Arsinoite), 28/8/217",Soknopaiou Nesos (Arsinoite), 28/8/217,Aur,,,,,['215-Ar-3-d1'],,13,0,5,"Vienna, inv. G 24555; seen 22/4/1991.","Large gap in the middle, amount not easy to establish with certainty in all cases. A number of uncertainties about relationships of the persons listed, particularly with the slaves.",No
261,215,Ar,4,"SPP II p. 30 no.3, iii (cf. BL 1.407, 7.255)","Soknopaiou Nesos (Arsinoite), 28/8/217",Soknopaiou Nesos (Arsinoite), 28/8/217,Aur. Stotoetis,,,,,['215-Ar-4-d1'],priest,11,0,0,"Vienna, inv. G 24555; seen 22/4/1991.",Losses at left and right and large holes in the center toward the bot- tom.,No
262,215,Ar,5,"SPP II p. 30 no.3, iv (cf. BL 7.255)","Soknopaiou Nesos (Arsinoite), 28/8/217",Soknopaiou Nesos (Arsinoite), 28/8/217,Aur. Panephremmis,,,,,['215-Ar-5-d1'],priest,3,0,0,"Vienna, inv. G 24555; seen 22/4/1991.",Complete except for minor gaps.,No
263,215,Ar,6,"SPP II p. 31 no.3, v","Soknopaiou Nesos (Arsinoite), 28/8/217",Soknopaiou Nesos (Arsinoite), 28/8/217,Aur. Panephremmis,,,,,['215-Ar-6-d1'],priest,5,0,0,"Vienna, inv. G 24555; seen 22/4/1991.",Complete.,No
264,215,Ar,7,"P.Lond. II 452.4-8 (p. 65) (cf. BL 1.245, 8.178-79; BASP 28 [1991]","Arsinoite, March-April (?) 217",Arsinoite, March-April (?) 217,Name lost,,,,,['215-Ar-7-d1'],,4,0,0,"London, BL inv. 452; seen 2/4/1991.","Broken at left. This is an excerpt, cf. BASP 28 (1991) 123-24.",Yes
265,215,Ar,8,P.Tebt. II 446 (cf. BL 1.428; see Aegyptus 72 [1992] 82-84),"Arsinoite (found at Tebtunis, but filed in Arsinoe), 216/7",Arsinoite (found at Tebtunis, but filed in Arsinoe),Aurelia,,,,,['215-Ar-8-d1'],,0,0,0,"Berkeley, P.Tebt. 446; seen 28/9/1990; photograph.","Only the beginning is preserved, with the name of the declarant.",No
266,215,He,l,"SPP II, p. 26-27, no.l (cf. BL 1.407, 8.433)0","Herakleopolis, 7-8/217",Herakleopolis, 7-8/217,Aur,,,,,['215-He-l-d1'],,5,2,0,"Vienna, inv. G 25799; ZPE 65 (1986) Taf. lib; seen 22/4/1991.","Broken at top, left, and bottom. The full identification of the declarant and the beginning of the list of persons are lost. Kin nos. 1-2 are reconstructed from information given elsewhere. The ages of kin nos. 3-4 are given as of current year in the declaration.",Yes
